Ngày           Mã           Video Tiêu đề       View
16/04/2019     VID00123     Tom Jerry 01            2500
16/04/2019     VID00124     Tom Jerry 02            1000
16/04/2019     VID00125     Tom Jerry 03            800
17/04/2019     VID00123     Tom Jerry 01            1800
17/04/2019     VID00124     Tom Jerry 02            500
17/04/2019     VID00125     Tom Jerry 03            300
17/04/2019     VID00126     Tom Jerry 04            100
16/04/2019     VID00123     Tom Jerry 01            1500
16/04/2019     VID00124     Tom Jerry 02            1300



